"","Trinta","Sessenta","Cento_e_vinte","log30","log60","log120","Pontos","Nome","Semente","Destino","Enterrada","Distancia","D2","D3","D4","Mudanca","Data","Dispersas"
"119",0,0,0,0,0,0,"AFV19","Cascatinha","C1","N","N",0,0,0,0,"N",2017-08-15,FALSE
"120",0,0,0,0,0,0,"AFV19","Cascatinha","C10","N","N",0,0,0,0,"N",2017-08-15,FALSE
"121",0,0,0,0,0,0,"AFV19","Cascatinha","C2","N","N",0,0,0,0,"N",2017-08-15,FALSE
"122",0,0,0,0,0,0,"AFV19","Cascatinha","C3","N","N",0,0,0,0,"N",2017-08-15,FALSE
"123",0,0,0,0,0,0,"AFV19","Cascatinha","C4","N","N",0,0,0,0,"N",2017-08-15,FALSE
"124",0,0,0,0,0,0,"AFV19","Cascatinha","C5","N","N",0,0,0,0,"N",2017-08-15,FALSE
"125",0,0,0,0,0,0,"AFV19","Cascatinha","C6","N","N",0,0,0,0,"N",2017-08-15,FALSE
"126",0,0,0,0,0,0,"AFV19","Cascatinha","C7","N","N",0,0,0,0,"N",2017-08-15,FALSE
"127",0,0,0,0,0,0,"AFV19","Cascatinha","C8","N","N",0,0,0,0,"N",2017-08-15,FALSE
"128",0,0,0,0,0,0,"AFV19","Cascatinha","C9","N","N",0,0,0,0,"N",2017-08-15,FALSE
"129",41.85,39.38,36.92,3.75770564504379,3.69833461288469,3.63547867738682,"AFV20","Grutas","C1","P","N",0,0,0,0,"N",2017-08-15,FALSE
"130",41.85,39.38,36.92,3.75770564504379,3.69833461288469,3.63547867738682,"AFV20","Grutas","C10","P","N",0,0,0,0,"N",2017-08-15,FALSE
"131",41.85,39.38,36.92,3.75770564504379,3.69833461288469,3.63547867738682,"AFV20","Grutas","C2","P","N",11.2,0,0,0,"N",2017-08-15,FALSE
"132",41.85,39.38,36.92,3.75770564504379,3.69833461288469,3.63547867738682,"AFV20","Grutas","C3","P","N",0,0,0,0,"N",2017-08-15,FALSE
"133",41.85,39.38,36.92,3.75770564504379,3.69833461288469,3.63547867738682,"AFV20","Grutas","C4","P","N",0,0,0,0,"N",2017-08-15,FALSE
"134",41.85,39.38,36.92,3.75770564504379,3.69833461288469,3.63547867738682,"AFV20","Grutas","C5","N","N",0,0,0,0,"N",2017-08-15,FALSE
"135",41.85,39.38,36.92,3.75770564504379,3.69833461288469,3.63547867738682,"AFV20","Grutas","C7","P","N",0,0,0,0,"N",2017-08-15,FALSE
"136",41.85,39.38,36.92,3.75770564504379,3.69833461288469,3.63547867738682,"AFV20","Grutas","C8","P","N",0,0,0,0,"N",2017-08-15,FALSE
"137",41.85,39.38,36.92,3.75770564504379,3.69833461288469,3.63547867738682,"AFV20","Grutas","C9","P","N",0,0,0,0,"N",2017-08-15,FALSE
