"","X","Pontos","Nome","Semente","Destino","Enterrada","Distancia","D2","D3","D4","Mudanca","X12","X13","Data","N","Sessenta"
"1140",1026,"AFV14","Capela","C6","N","N","0","0",0,0,"N",NA,1026,"2018/05/30",1026,23
"1141",1216,"AFV14","Capela","C6","N","N","0","0",0,0,"N",NA,1216,"2018/06/14",1216,23
"1142",1406,"AFV14","Capela","C6","N","N","0","0",0,0,"N",NA,1406,"2018/07/02",1406,23
"1143",1596,"AFV14","Capela","C6","D","S","22.7","0",0,0,"S",NA,1596,"2018/08/01",1596,23
"1144",77,"AFV14","Capela","C7","N","N","0","0",0,0,"N",NA,77,"2018/04/20",77,23
"1145",267,"AFV14","Capela","C7","N","N","0","0",0,0,"N",NA,267,"2018/04/24",267,23
"1146",457,"AFV14","Capela","C7","N","N","0","0",0,0,"N",NA,457,"2018/05/02",457,23
"1147",647,"AFV14","Capela","C7","N","N","0","0",0,0,"N",NA,647,"2018/05/09",647,23
"1148",837,"AFV14","Capela","C7","N","N","0","0",0,0,"N",NA,837,"2018/05/16",837,23
"1149",1027,"AFV14","Capela","C7","N","N","0","0",0,0,"N",NA,1027,"2018/05/30",1027,23
"1150",1217,"AFV14","Capela","C7","N","N","0","0",0,0,"N",NA,1217,"2018/06/14",1217,23
"1151",1407,"AFV14","Capela","C7","N","N","0","0",0,0,"N",NA,1407,"2018/07/02",1407,23
"1152",1597,"AFV14","Capela","C7","N","N","0","0",0,0,"N",NA,1597,"2018/08/01",1597,23
"1153",78,"AFV14","Capela","C8","N","N","0","0",0,0,"N",NA,78,"2018/04/20",78,23
"1154",268,"AFV14","Capela","C8","N","N","0","0",0,0,"N",NA,268,"2018/04/24",268,23
"1155",458,"AFV14","Capela","C8","D","S","16","0",0,0,"S",NA,458,"2018/05/02",458,23
"1156",648,"AFV14","Capela","C8","D","S","16","0",0,0,"N",NA,648,"2018/05/09",648,23
"1157",838,"AFV14","Capela","C8","S","N","0","0",0,0,"S",NA,838,"2018/05/16",838,23
"1158",1028,"AFV14","Capela","C8","S","N","0","0",0,0,"N",NA,1028,"2018/05/30",1028,23
"1159",1218,"AFV14","Capela","C8","S","N","0","0",0,0,"N",NA,1218,"2018/06/14",1218,23
"1160",1408,"AFV14","Capela","C8","S","N","0","0",0,0,"N",NA,1408,"2018/07/02",1408,23
"1161",1598,"AFV14","Capela","C8","S","N","0","0",0,0,"N",NA,1598,"2018/08/01",1598,23
"1162",79,"AFV14","Capela","C9","N","N","0","0",0,0,"N",NA,79,"2018/04/20",79,23
"1163",269,"AFV14","Capela","C9","S","N","14","0",0,0,"S","Acabou a linha",269,"2018/04/24",269,23
"1164",459,"AFV14","Capela","C9","S","N","14","0",0,0,"N",NA,459,"2018/05/02",459,23
"1165",649,"AFV14","Capela","C9","S","N","14","0",0,0,"N",NA,649,"2018/05/09",649,23
"1166",839,"AFV14","Capela","C9","S","N","14","0",0,0,"N",NA,839,"2018/05/16",839,23
"1167",1029,"AFV14","Capela","C9","S","N","14","0",0,0,"N",NA,1029,"2018/05/30",1029,23
"1168",1219,"AFV14","Capela","C9","S","N","14","0",0,0,"N",NA,1219,"2018/06/14",1219,23
"1169",1409,"AFV14","Capela","C9","S","N","14","0",0,0,"N",NA,1409,"2018/07/02",1409,23
"1170",1599,"AFV14","Capela","C9","S","N","14","0",0,0,"N",NA,1599,"2018/08/01",1599,23
"1171",161,"AFV15","Cova da Onca","C1","N","N","0","0",0,0,"N",NA,161,"2018/04/20",161,6
"1172",351,"AFV15","Cova da Onca","C1","N","N","0","0",0,0,"N",NA,351,"2018/04/24",351,6
"1173",541,"AFV15","Cova da Onca","C1","N","N","0","0",0,0,"N",NA,541,"2018/05/02",541,6
"1174",731,"AFV15","Cova da Onca","C1","N","N","0","0",0,0,"N",NA,731,"2018/05/09",731,6
"1175",921,"AFV15","Cova da Onca","C1","N","N","0","0",0,0,"N",NA,921,"2018/05/16",921,6
"1176",1111,"AFV15","Cova da Onca","C1","N","N","0","0",0,0,"N",NA,1111,"2018/05/30",1111,6
"1177",1301,"AFV15","Cova da Onca","C1","N","N","0","0",0,0,"N",NA,1301,"2018/06/14",1301,6
"1178",1491,"AFV15","Cova da Onca","C1","N","N","0","0",0,0,"N",NA,1491,"2018/07/02",1491,6
