"","X","Pontos","Nome","Semente","Destino","Enterrada","Distancia","D2","D3","D4","Mudanca","X12","X13","Data","Trinta","Sessenta","Cento_e_vinte"
"138",138,"AFV03","Circuito Mylena","C6","N","N",0,0,0,0,"N",NA,NA,"2018-04-24",17.14285714,12.85714286,11.42857143
"139",139,"AFV03","Circuito Mylena","C7","N","N",0,0,0,0,"N",NA,NA,"2018-04-24",17.14285714,12.85714286,11.42857143
"140",140,"AFV03","Circuito Mylena","C9","S","N",0,0,0,0,"S",NA,NA,"2018-05-16",17.14285714,12.85714286,11.42857143
"141",141,"AFV03","Circuito Mylena","C10","D","S",12,0,0,0,"S",NA,NA,"2018-05-16",17.14285714,12.85714286,11.42857143
"142",142,"AFV03","Circuito Mylena","C3","N","N",0,0,0,0,"N",NA,NA,"2018-05-16",17.14285714,12.85714286,11.42857143
"143",143,"AFV03","Circuito Mylena","C4","N","N",0,0,0,0,"N",NA,NA,"2018-05-16",17.14285714,12.85714286,11.42857143
"144",144,"AFV03","Circuito Mylena","C3","N","N",0,0,0,0,"N",NA,NA,"2018-05-09",17.14285714,12.85714286,11.42857143
"145",145,"AFV03","Circuito Mylena","C10","D","S",12,0,0,0,"N",NA,NA,"2018-07-02",17.14285714,12.85714286,11.42857143
"146",146,"AFV03","Circuito Mylena","C1","S","N",0,0,0,0,"S",NA,NA,"2018-05-30",17.14285714,12.85714286,11.42857143
"147",147,"AFV03","Circuito Mylena","C2","N","N",0,0,0,0,"N",NA,NA,"2018-05-02",17.14285714,12.85714286,11.42857143
"148",148,"AFV03","Circuito Mylena","C3","N","N",0,0,0,0,"N",NA,NA,"2018-04-24",17.14285714,12.85714286,11.42857143
"149",149,"AFV03","Circuito Mylena","C4","N","N",0,0,0,0,"N",NA,NA,"2018-04-24",17.14285714,12.85714286,11.42857143
"150",150,"AFV03","Circuito Mylena","C9","N","N",0,0,0,0,"N",NA,NA,"2018-05-02",17.14285714,12.85714286,11.42857143
"151",151,"AFV03","Circuito Mylena","C6","N","N",0,0,0,0,"N",NA,NA,"2018-05-09",17.14285714,12.85714286,11.42857143
"152",152,"AFV03","Circuito Mylena","C7","N","N",0,0,0,0,"N",NA,NA,"2018-05-02",17.14285714,12.85714286,11.42857143
"153",153,"AFV03","Circuito Mylena","C10","N","N",0,0,0,0,"N",NA,NA,"2018-05-02",17.14285714,12.85714286,11.42857143
"154",154,"AFV03","Circuito Mylena","C7","D","S",8,0,0,0,"N",NA,NA,"2018-06-14",17.14285714,12.85714286,11.42857143
"155",155,"AFV03","Circuito Mylena","C7","D","S",8,0,0,0,"S",NA,NA,"2018-05-30",17.14285714,12.85714286,11.42857143
"156",156,"AFV03","Circuito Mylena","C1","N","N",0,0,0,0,"N",NA,NA,"2018-04-20",17.14285714,12.85714286,11.42857143
"157",157,"AFV03","Circuito Mylena","C3","N","N",0,0,0,0,"N",NA,NA,"2018-04-20",17.14285714,12.85714286,11.42857143
"158",158,"AFV03","Circuito Mylena","C10","D","S",12,0,0,0,"N",NA,NA,"2018-05-30",17.14285714,12.85714286,11.42857143
"159",159,"AFV03","Circuito Mylena","C7","D","S",8,0,0,0,"N",NA,NA,"2018-08-01",17.14285714,12.85714286,11.42857143
"160",160,"AFV03","Circuito Mylena","C2","N","N",0,0,0,0,"N",NA,NA,"2018-04-24",17.14285714,12.85714286,11.42857143
"161",161,"AFV03","Circuito Mylena","C1","N","N",0,0,0,0,"N",NA,NA,"2018-04-24",17.14285714,12.85714286,11.42857143
"162",162,"AFV03","Circuito Mylena","C9","N","N",0,0,0,0,"N",NA,NA,"2018-04-20",17.14285714,12.85714286,11.42857143
"163",163,"AFV03","Circuito Mylena","C3","S","N",0,0,0,0,"N",NA,NA,"2018-07-02",17.14285714,12.85714286,11.42857143
"164",164,"AFV03","Circuito Mylena","C5","N","N",0,0,0,0,"N",NA,NA,"2018-04-24",17.14285714,12.85714286,11.42857143
"165",165,"AFV03","Circuito Mylena","C8","S","N",0,0,0,0,"N",NA,NA,"2018-05-30",17.14285714,12.85714286,11.42857143
"166",166,"AFV03","Circuito Mylena","C9","S","N",0,0,0,0,"N",NA,NA,"2018-05-30",17.14285714,12.85714286,11.42857143
"167",167,"AFV03","Circuito Mylena","C10","D","S",12,0,0,0,"N",NA,NA,"2018-06-14",17.14285714,12.85714286,11.42857143
"168",168,"AFV03","Circuito Mylena","C5","N","N",0,0,0,0,"N",NA,NA,"2018-07-02",17.14285714,12.85714286,11.42857143
"169",169,"AFV03","Circuito Mylena","C3","N","N",0,0,0,0,"N",NA,NA,"2018-05-02",17.14285714,12.85714286,11.42857143
"170",170,"AFV03","Circuito Mylena","C1","N","N",0,0,0,0,"N",NA,NA,"2018-05-02",17.14285714,12.85714286,11.42857143
"171",171,"AFV03","Circuito Mylena","C9","S","N",0,0,0,0,"N",NA,NA,"2018-06-14",17.14285714,12.85714286,11.42857143
"172",172,"AFV03","Circuito Mylena","C8","S","N",0,0,0,0,"N",NA,NA,"2018-06-14",17.14285714,12.85714286,11.42857143
"173",173,"AFV03","Circuito Mylena","C8","N","N",0,0,0,0,"N",NA,NA,"2018-04-20",17.14285714,12.85714286,11.42857143
"174",174,"AFV03","Circuito Mylena","C5","N","N",0,0,0,0,"N",NA,NA,"2018-06-14",17.14285714,12.85714286,11.42857143
"175",175,"AFV03","Circuito Mylena","C8","D","S",13,0,0,0,"N",NA,NA,"2018-05-09",17.14285714,12.85714286,11.42857143
"176",176,"AFV03","Circuito Mylena","C5","N","N",0,0,0,0,"N",NA,NA,"2018-05-09",17.14285714,12.85714286,11.42857143
"177",177,"AFV03","Circuito Mylena","C6","S","N",0,0,0,0,"N",NA,NA,"2018-06-14",17.14285714,12.85714286,11.42857143
